,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
247,生命中不能承受之轻,2,"[捷] 米兰·昆德拉 , 韩少功、韩刚 ", 1987-9 , 作家出版社 ,8.7,最沉重的负担压迫着我们，让我们屈服于它，把我们压到地上。但在历代的爱情诗中，女人总渴望承受一个男性身体的重量。于是，最沉重的负担同时也成了最强盛的生命力的影...,9002,https://book.douban.com/subject/1433377/
248,邻人之妻,78,"[美] 盖伊·特立斯 , 木风、许诺 ", 2018-7 , 上海人民出版社 ,8.4,☆不可贪图邻人的房产。不可贪爱邻人的妻子、奴婢、牛驴或他的任何东西。（《旧约·出埃及记》）☆新新闻主义之父 盖伊·特立斯 惊世骇俗之作 九年性爱之旅，终朝...,2420,https://book.douban.com/subject/27091742/
249,第七天,29,余华 , 2013-6 , 新星出版社 ,6.8,“浓雾弥漫之时，我走出了出租屋，在空虚混沌的城市里孑孓而行。我要去的地方名叫殡仪馆，这是它现在的名字，它过去的名字叫火葬场。我得到一个通知，让我早晨九点之前...,42622,https://book.douban.com/subject/24540864/
250,陆犯焉识,35,严歌苓 , 2011-10 , 作家出版社 ,8.8,《陆犯焉识》内容简介：陆焉识本是上海大户人家才子+公子型的少爷，聪慧而倜傥，会多国语言，也会讨女人喜欢。父亲去世后，年轻无嗣的继母冯仪芳为了巩固其在家族中的...,31102,https://book.douban.com/subject/6880158/
251,孩子们的诗,68,果麦 编 , 2017-10 , 浙江文艺出版社 ,9.0,书中有灵气的诗句包括但不限于以下：*我的眼睛／很小很小／有时遇到心事／就连两行泪／也装不下——陈科全， 八岁*灯把黑夜／烫了一个洞——姜二嫚，七岁*春...,4814,https://book.douban.com/subject/27133274/
252,我要快乐，不必正常,49,"[英] 珍妮特·温特森 , 冯倩珠 ", 2018-6 , 北京联合出版公司 ,8.5,我在家里住了16年，父亲不在工厂轮班，就在教堂。母亲整夜醒着，终日抑郁。我上学，去教堂，跑进山间，秘密地读书。我自幼便学会隐蔽。藏匿我的心。掩饰我的想法。...,2503,https://book.douban.com/subject/27663541/
253,看不见的城市,16,"[意大利]伊塔洛·卡尔维诺 , 张宓 ", 2006-8 , 译林出版社 ,8.8,《看不见的城市》的第一版是在1972年11月由都灵的埃伊纳乌迪出版社出版的。在这本书出版的时候，从1972年底到1973年初，卡尔维诺曾在多家报纸的文章和访...,30024,https://book.douban.com/subject/1863930/
254,一个叫欧维的男人决定去死,39,"[瑞典] 弗雷德里克·巴克曼 , 宁蒙 ", 2017-7-24 , 四川文艺出版社 ,9.2,来认识一下欧维，这个59岁的老头，脾气古怪，带着坚不可 摧的 原则、每天恪守的常规以及随时发飙的脾性在社区晃来晃去，被背地里称为“地狱来的恶邻”。他每天一大...,3368,https://book.douban.com/subject/27054340/
255,雨,38,[马来西亚] 黄锦树 , 2018-3 , 后浪丨四川人民出版社 ,8.5,大雨无边无际，召唤南洋胶林深处的情感与记忆台湾时报文学奖、联合报文学奖得主黄锦树获奖作品...................※编辑推荐※☆《雨》是...,3247,https://book.douban.com/subject/27192538/
256,纳博科夫最喜欢的词,60,"[美]本·布拉特 , 杜森 ", 2019-4 , 低音·北京联合出版公司 ,7.8,★★★继《写作课》之后，用大数据分析文学、探究黄金写作法则的写作指导图书……………………◎ 编辑推荐★ 马尔克斯、海明威、乔伊斯、纳博科夫、马克·吐...,76,https://book.douban.com/subject/30346158/
