,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
539,假如真有时光机,49,"[日] 村上春树 , 施小炜 ", 2018-5-1 , 南海出版公司 ,7.9,《假如真有时光机》是村上春树周游世界各地，写下的妙趣横生的随笔集。在遍布苔藓的冰岛，邂逅没有尾巴的羊和可爱的迷途之鸟；再访《挪威的森林》的起点希腊小岛，在日...,3966,https://book.douban.com/subject/30177173/
540,乖，摸摸头,36,大冰 , 2014-9-1 , 湖南文艺出版社 ,7.3,真实的故事自有万钧之力这本书讲述了12个真实的故事或许会让你看到那些你永远无法去体会的生活见识那些可能你永远都无法结交的人【乖，摸摸头】：“杂草敏”...,42548,https://book.douban.com/subject/25984204/
541,包法利夫人,12,"福楼拜 , 李健吾 ", 2003-01 , 人民文学出版社 ,8.0,长篇小说《包法利夫人》是福楼拜的代表作。作者以简洁而细腻的文笔，通过一个富有激情的女子爱玛的经历，再现了１９世纪中期法国的社会生活。《包法利夫人》的艺术形式...,17821,https://book.douban.com/subject/1083477/
542,春风沉醉的晚上,20,郁达夫 , 2006-12 , 江苏文艺出版社 ,8.1,《春风沉醉的晚上》是他一生所创作的经典作品的精选集，有《过去》、《沉沦》、《春潮》、《迟桂花》等等，是一本不可获缺的经典收藏本！郁达夫是以专情而放任的矛盾形...,7037,https://book.douban.com/subject/2010284/
543,遮蔽的天空,49,"[美]保罗·鲍尔斯 , 阳曦 ", 2018-9-5 , 江苏凤凰文艺出版社 ,7.9,《遮蔽的天空》讲述了我们一生中会遇到的绝大多数问题：爱情、婚姻、旅行、死亡、存在价值、人生意义……意识到人生虚无的人，比任何人都更渴望真实地活着。二战结束...,2743,https://book.douban.com/subject/30193594/
544,NULL,39,"[美] 艾萨克·阿西莫夫 , 崔正男 ", 2014-12-1 , 江苏凤凰文艺出版社 ,8.4,22世纪，地球可以和平行宇宙进行物质交换，从此拥有了源源不绝的能源。但是，只有几个人才知道危险的真相：地球上的一个无人信任的科学家、能源渐渐枯竭的星球上的一...,13095,https://book.douban.com/subject/26264967/
545,眠,29,"[日] 村上春树 著、[德] 卡特·曼施克 图 , 施小炜 ", 2013-4 , 南海出版公司 ,7.6,"★村上春树觉醒之作★17天，我不曾合眼。17个白天，17个黑夜,无眠的世界，你能做些什么？★卡夫卡的荒诞+爱伦·坡的惊悚★村上春树最美的书，由德国著名...",13236,https://book.douban.com/subject/21692813/
546,虚无的十字架,39,"[日] 东野圭吾 , 王蕴洁 ", 2015-6 , 湖南文艺出版社 ,7.5,所谓的“罪”与“罚”究竟本质为何？是让犯人听到自己的死刑宣判而感到解脱？还是，让他重返自由社会、但用尽一生赎罪？爱女被杀害的道正与小夜子夫妻在凶手被宣...,32039,https://book.douban.com/subject/26413027/
547,西西弗神话,20,"[法]加缪 , 沈志明 ", 2010-12 , 上海译文出版社 ,8.7,加缪在他的小说、戏剧、随笔和论著中深刻地揭示出人在异己的世界中的孤独、个人与自身的日益异化，以及罪恶和死亡的不可避免，但他在揭示出世界的荒诞的同时却并不绝望...,2074,https://book.douban.com/subject/5312095/
548,NULL,38,阿来 , 2013-4 , 人民文学出版社 ,8.8,一个声势显赫的康巴藏族土司，在酒后和汉族太太生了一个傻瓜儿子。这个人人都认定的傻子与现实生活格格不入，却有着超时代的预感和举止，成为土司制度兴衰的见证人。小...,1909,https://book.douban.com/subject/23286393/
549,NULL,28,"(英)阿加莎·克里斯蒂 , 夏阳 ", 2013-7 , 新星出版社 ,8.6,十个素不相识、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接...,16445,https://book.douban.com/subject/24859822/
550,丰乳肥臀,49,莫言 , 2003-09 , 中国工人出版社 ,8.0,小说中通过母亲，含辛茹苦、艰难的抚育着一个又一个儿女，并且视上官金童为生命一般重要，其用意在于说明：人永远是宇宙中最宝贵的，生命具有无可争辩的意义，是第一本...,9091,https://book.douban.com/subject/1010349/
551,大师与玛格丽特,15,"布尔加科夫 , 钱诚 ", 1999-04 , 浙江文艺出版社 ,9.1,前苏联著名作家布尔加科夫的代表作品《大师与玛格丽特》中译本又名《撒旦狂舞》。撒旦即魔鬼，按照《圣经》的记载，魔鬼是上帝的众子之一，在《约伯记》中，魔鬼就人究...,1517,https://book.douban.com/subject/1016911/
552,动物庄园,18,"（英）乔治·奥威尔 , 张毅、高孝先 ", 2000-08 , 上海人民出版社 ,9.1,用动物对人类抗争后自建家园来再现前苏联的整个历史情形，奥威尔的《动物庄园》被公认为二十世纪最杰出的政治寓言。《动物庄园》被译成二十多种文字在全世界流传，其中...,20181,https://book.douban.com/subject/1018136/
553,寻找时间的人,36,"[爱尔兰] 凯特·汤普森 , 闫雪莲 ", 2017-3 , 江苏凤凰文艺出版社 ,7.3,一桩多年前的家族隐私引起了吉吉的好奇心，但留给少年探寻的时间并不多，因为时间似乎正以不可思议的速度从我们的世界流出，于是为了满足妈妈的心愿，也为了弄清困扰自...,1520,https://book.douban.com/subject/26972277/
554,烛烬,35,"[匈] 马洛伊·山多尔 , 余泽民 ", 2015-11 , 译林出版社 ,8.6,空寂的庄园，主人老将军迎来了一位罕见的访客，一位曾与他金兰之交的故友。昏暗的客厅里，将军与访客秉烛对坐，彻夜长谈，怀念将军逝去多年的妻子，审判一段由爱情及...,3740,https://book.douban.com/subject/26580084/
555,人间失格,25,"太宰治 , 李建云 ", 2016-1-1 , 浙江文艺出版社 ,7.6,川端康成说，死亡是最高的艺术。太宰治虽然只活了三十九岁，但他给日本文学留下的印记却是深刻而震撼的。他的作品中往往充满着深深的罪恶感，正如《人间失格》的主人公...,2905,https://book.douban.com/subject/26715115/
556,游隼,48,"[英] J.A.贝克 , 李斯本 ", 2017-8 , 浙江教育出版社 ,9.1,★达夫•库珀奖获奖作品★纽约书评图书“经典重现”书系选书★赫尔佐格“无赖电影学校”必读书目影响持续半个世纪的经典首次引进中国------------...,999,https://book.douban.com/subject/27108971/
557,一本小小的红色写作书,39,"[加] 布兰登·罗伊尔 , 周丽萍 ", 2017-4 , 九州出版社 ,7.8,写作能力出众的人，大多是掌握了一些固定的重要写作原则，并在写作的过程中反复不断地使用。本书从结构、风格、可读性三个方面，列举了20条放之四海而皆准的写作原则...,1360,https://book.douban.com/subject/26990918/
558,儒林外史,20,吴敬梓 , 2002-1-1 , 人民文学出版社 ,8.3,吴敬梓的《儒林外史》是中国小说史上少有的几部出类拔萃的巨制之一，是唯一一部真正意义上的讽刺小说。    吴敬梓在创作此书时，以对待功名富贵和文行出处的态度...,4991,https://book.douban.com/subject/1042053/
559,时间移民,32,刘慈欣 , 2014-12 , 江苏凤凰文艺出版社 ,8.4,中国科幻第一人，九届银河奖得主，《三体》作者刘慈欣作品。未来，迫于环境恶化和人口压力，地球政府决定派出远征队伍，选取25岁以下的人类成员向未来移民。旅行队...,7778,https://book.douban.com/subject/26210607/
560,不朽,24,"米兰·昆德拉 , 王振孙、郑克鲁 ", 2003-06 , 上海译文出版社 ,8.6,歌德谈到不朽当然和灵魂的不朽毫无关系。这是另外一种世俗的不朽，是指死后有留在人记忆中的那些人的不朽。任何人都能得到这种伟大程度不等，、时间长短不一的不朽，每...,11390,https://book.douban.com/subject/1060117/
561,我的名字叫红,29,"[土耳其] 奥尔罕·帕慕克 , 沈志兴 ", 2006-8 , 上海人民出版社 ,7.9,1590年末的伊斯坦布尔，国王苏丹秘密委制一本伟大的书籍，颂扬他的生活与帝国。四位当朝最优秀的细密画家齐聚京城，分工合作，精心绘制这本旷世之作。此时离家12...,23818,https://book.douban.com/subject/1851385/
562,寻欢作乐,29,"[英] 威廉·萨默塞特·毛姆 , 叶尊 ", 2013-2 , 译林出版社 ,8.4,1930年，《寻欢作乐》以连载的形式最初发表于《时尚芭莎》1958年，毛姆在接受采访时称，《寻欢作乐》是他本人最得意与最喜爱的一部小说。上个世纪的英国作...,6562,https://book.douban.com/subject/10768068/
563,给青年的十二封信,12,朱光潜 , 2004-12 , 广西师范大学出版社 ,8.8,本书是朱光潜先生旅欧期间写给国内青年朋友的十二封信，信中所说多为青年们所关心和应该关心的事项，如读书、修身、作文、社会运动、爱恋、哲理，凡此种种。自朱光潜先...,4707,https://book.douban.com/subject/1069805/
564,不安之书,42,"费尔南多·佩索阿 , 刘勇军 ", 2014-1-1 , 中国文联出版社 ,8.7,《不安之书》是费尔南多•佩索阿的代表作之一，也是他在华语市场上失落已久的经典之作。它是曾经长期散佚的作品，多为“仿日记”片断体，由众多研究专家搜集整理而成。...,1946,https://book.douban.com/subject/25847717/
565,染匠之手,98,"[英] W·H·奥登 , 胡桑、梵予 校 ", 2018-3 , 上海译文出版社 ,9.1,《染匠之手》收录了一代文学巨匠W.H.奥登精彩纷呈的散文作品，包括他作为牛津大学诗歌教授发表的著名讲演录。书中的文章题材广泛却又互有关联，对诗歌，对艺术，对...,335,https://book.douban.com/subject/27036902/
566,NULL,69,"[美] A.司各特·伯格 , 彭伦 ", 2017-1 , 理想国 | 广西师范大学出版社 ,9.1,普利策传记奖得主，美国国家图书奖获奖作品，追迹20世纪美国文学传奇“伯乐”麦克斯·珀金斯的非凡生涯。美国出版史上，鲜有比麦克斯•珀金斯更具传奇色彩、更像谜...,1153,https://book.douban.com/subject/26120130/
567,遥远的向日葵地,38,李娟 , 2017-11 , 花城出版社 ,9.0,此书为李娟近两年开始写作并发表在《文汇报》笔会的专栏——“遥远的向日葵地”的最新文字结集。“向日葵地”在阿勒泰戈壁草原的乌伦古河南岸，是李娟母亲多年前承包...,3445,https://book.douban.com/subject/27184303/
568,草枕,25,"(日)夏目漱石 , 陈德文 ", 2014-6 , 上海译文出版社 ,8.7,"《草枕》是夏目漱石的前期的重要代表作之一。小说写""我""--一个青年画家为了躲避俗世的忧烦，寻求""非人情""的美的世界，来到了一个偏远的山村，以及在那里的所见所...",1710,https://book.douban.com/subject/25883054/
569,地下室手记,15,"[俄]陀思妥耶夫斯基 , 臧仲伦 ", 2012-5 , 漓江出版社 ,9.1,《地下室手记》体现了陀思妥耶夫斯基诗学的全部艺术特色，内容深刻，形式诡异，既像小说，又像忏悔录，又像哲学论文。作品主人公既像坏人，又像好人；既像小人，又像一...,2990,https://book.douban.com/subject/10759466/
570,白鲸,30,"[美]赫尔曼·麦尔维尔 , 曹庸 ", 2007-7 , 上海译文出版社 ,8.1,赫尔曼·麦尔维尔（1819-1891），美国文学史上最杰出的浪漫主义小说家之一，《白鲸》是他的代表作。捕鲸船“裴廊德”号船长亚哈，在一次捕鲸过程中，被凶残...,2224,https://book.douban.com/subject/2170030/
571,百年孤独,12,"[哥伦比亚] 加西亚·马尔克斯 , 黄锦炎、沈国正、陈泉 ", 1989-10 , 上海译文出版社 ,8.9,《百年孤独》内容复杂，人物众多，情节离奇，手法新颖。马尔克斯在书中溶汇了南美洲特有的五彩缤纷的文化。他通过描写小镇马孔多的产生、兴盛到衰落、消亡，表现了拉丁...,50467,https://book.douban.com/subject/1786670/
572,NULL,45,"岩井俊二 , 穆晓芳 ", 2018-6-1 , 南海出版公司 ,9.0,有一个可以想念的人，就是幸福岩井俊二经典电影《情书》原著小说，挚爱珍藏版————————————————————————————————《情书》是作家...,1518,https://book.douban.com/subject/30230525/
573,傲慢与偏见,11,"[英] 奥斯丁 , 王科一 ", 1996-12 , 上海译文出版社 ,9.0,《傲慢与偏见》是英国著名女作家简·奥斯汀（Jane Austen 1775～1817年）的代表作，是一部描写爱情与婚姻的小说。这部小说以男女主人公达西和伊丽...,29129,https://book.douban.com/subject/1401841/
574,童年,10,"[苏] 高尔基 , 刘辽逸 ", 2002-01 , 人民文学出版社 ,7.7,《童年》是高尔基自传体三部曲中的第一部，内容包括了高尔基幼年时期从三岁至十岁这一段时间的生活断面。阿寥沙·彼什科夫三岁丧父后，由母亲和外祖母带到外祖父家。外...,12107,https://book.douban.com/subject/1009285/
575,NULL,25,"(德) 黑塞 , 赵登荣，倪诚恩 ", 2010年8月1日 , 上海译文出版社 ,9.0,赫尔曼·黑塞（1877-1962），德国作家，1946年获得诺贝尔文学奖。《荒原狼》是黑塞中期创作的代表作，亦是他创作生涯中的里程碑。小说的主人公哈勒尔是...,4496,https://book.douban.com/subject/4908883/
576,孽子,46,白先勇 , 2010.10 , 广西师范大学出版社 ,9.1,白先勇唯一的一部长篇小说《孽子》，以同性恋为题材，全书共分为四章，依次是“放逐”、“在我们的王国里”、“安乐乡”、“那些青春鸟的行旅”，描写了上个世纪六七十...,9308,https://book.douban.com/subject/5337254/
577,NULL,20,刘慈欣 , 2004-10 , 上海科学普及出版社 ,8.6,人类使用地层飞船深入地球内部进行探险，一艘地层飞船在航行中失事，下沉到地心，船上只剩下一名年轻的女领航员，她只能在封闭的地心渡过余生……这是刘慈欣获小说《带...,6961,https://book.douban.com/subject/1195590/
578,嫌疑人X的献身,35,"东野圭吾 , 刘子倩 ", 2014-6 , 南海出版公司 ,9.0,百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。靖子与女儿相依为命，失手杀了前来纠缠的前夫。石神提出由...,41933,https://book.douban.com/subject/25924253/
579,苦妓回忆录,25,"加西亚·马尔克斯 , 轩乐 ", 2015-3-1 , 南海出版公司 ,7.8,一个老记者为了庆祝自己的九十岁生日，给妓院老鸨打电话，要找一个处女过夜。他信誓旦旦要重温旧年激情，但不知为何，当真正面对少女时却无动于衷。更荒唐的是，他发现...,7875,https://book.douban.com/subject/26276279/
580,NULL,32,"[德]赫尔曼·黑塞 , 姜乙 ", 2017-1 , 天津人民出版社 ,9.3,《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找...,3039,https://book.douban.com/subject/26980487/
581,使女的故事,49,"[加拿大] 玛格丽特·阿特伍德 , 陈小慰 ", 2017-12 , 上海译文出版社 ,8.3,奥芙弗雷德是基列共和国的一名使女。她是这个国家中为数不多能够生育的女性之一，被分配到没有后代的指挥官家庭，帮助他们生育子嗣。和这个国家里的其他女性一样，她没...,4074,https://book.douban.com/subject/27113801/
582,树犹如此,39,白先勇 , 2011-11 , 广西师范大学出版社 ,8.6,《树犹如此》是白先勇的散文自选集，主要收录他回忆个人经历、亲友交往的文章。其中纪念亡友的《树犹如此》将至深痛楚沉淀六年，被称为“以血泪、以人间最纯真的感情去...,3945,https://book.douban.com/subject/6937888/
583,查拉图斯特拉如是说,27,"[德] 尼采 , 钱春绮 ", 2007-12 , 生活·读书·新知三联书店 ,8.9,《查拉图斯特拉如是说》是尼采假借查拉图斯特拉之名说出他自己的哲学思想，也可以说是一本查拉图斯特拉的说教集或者说是查拉图斯特拉的行藏录，又有点像圣者传一类的书...,6299,https://book.douban.com/subject/2359052/
584,NULL,45,"沈复 , 周公度 ", 2017-4 , 浙江文艺出版社 ,8.1,这是沈复写给妻子芸娘的绝美情书。从初见的怦然心动到婚后的举案齐眉；从谈诗论画到赏月弄花，平平淡淡的柴米夫妻，将清贫的日子过成了一首诗。他们遭逢家庭变故，半生...,2025,https://book.douban.com/subject/27006467/
585,活着,13,余华 , 2004-5 , 上海文艺出版社 ,9.1,地主少爷富贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的富贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已...,83327,https://book.douban.com/subject/1061118/
586,远山淡影,27,"[英] 石黑一雄 , 张晓意 ", 2011-5 , 上海译文出版社 ,8.1,这是一段迷雾重重、亦真亦幻的回忆。战后长崎，一对饱受磨难的母女渴望安定与新生，却始终走不出战乱的阴影与心魔。剧终，忆者剥去伪装，悲情满篇。    《远山淡影...,13981,https://book.douban.com/subject/5988624/
587,橘子不是唯一的水果,25,"[英] 珍妮特·温特森 , 于是 ", 2010-7 , 新星出版社 ,7.6,1985年惠特布莱德奖获奖作品英国英语系学生必读的经典读物入选《卫报》死前必读的1000本小说改编成BBC热门剧集，荣获戛纳最佳剧本等多项大奖讲述每...,11663,https://book.douban.com/subject/4882159/
588,家,29,巴金 , 1981-09-01 , 人民文学出版社 ,8.2,巴金原名李尧棠，字芾甘。生于1904年，四川成都人，现代著名作家。他从小生活在一个官僚地主家庭里，目睹了种种丑恶的社会现象。“五四”运动使他打开眼界，树立起...,17695,https://book.douban.com/subject/1082522/
589,二十首情诗和一首绝望的歌,39,"[智利] 巴勃罗·聂鲁达 , 陈黎、张芬龄 ", 2014-6 , 南海出版公司 ,8.3,【聂鲁达豆瓣小站：http://site.douban.com/neruda/ 】生命中只有两样东西不可缺少：诗歌和爱情。送一首诗给你的爱情！★ 诺贝尔...,4614,https://book.douban.com/subject/25858680/
590,小说灯笼,42,"[日] 太宰治 , 陈系美 ", 2017-6 , 猫头鹰文化·四川文艺出版社 ,8.2,●○太宰治“人生三部曲” （《小丑之花》《小说灯笼》《津轻》）幽默浪漫小说集，带你重新认识太宰治“明天的烦恼明天再烦。我只想开心、努力、温柔待人地过完...,2060,https://book.douban.com/subject/27042834/
591,NULL,328,"[美] 艾萨克·阿西莫夫 , 叶李华 ", 2015-10-1 , 江苏凤凰文艺出版社 ,9.5,人类蜗居在银河系的一个小角落——太阳系，在围绕太阳旋转的第三颗 行星上，生 活了十多万年之久。人类在这个小小的行星（他们称之为“地球”）上，建立了两百多个...,2149,https://book.douban.com/subject/26389895/
592,苏菲的世界,26,"[挪] 乔斯坦·贾德 , 萧宝森 ", 2007-10 , 作家出版社 ,8.8,这本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，揭示了西方哲学发展的历程。由前苏格拉底时代到萨特，以及亚里士多德、笛卡儿、黑格尔等...,28226,https://book.douban.com/subject/2284311/
593,可爱的洪水猛兽,25,韩寒 , 2009-08-01 , 万卷出版公司 ,8.1,继《杂的文》后再次推出韩寒2008-2009最新博客文的精选。本书集合了以韩寒自己独特的思考方式为基础的杂文，评时事、人文、电影、艺术、赛车等，把最率性的品...,21048,https://book.douban.com/subject/3860856/
594,且听风吟,16,"[日] 村上春树 , 林少华 ", 2007-7 , 上海译文出版社 ,7.7,村上春树以中篇小说《且听风吟》开始文学创作。“我”在酒吧捡到一个醉倒的少女，在她的家中度过了醉意朦胧的一夜。醒来的误会还未能解释清楚，他们已经成了一对情人...,15967,https://book.douban.com/subject/2158194/
595,恋情的终结,58,"[英] 格雷厄姆·格林 , 柯平 ", 2017-4 , 江苏凤凰文艺出版社 ,8.0,二战期间的英国伦敦，作家莫里斯爱上公务员亨利的妻子萨拉。一次意外事件导致萨拉不辞而别， 莫里斯在恨和嫉妒中度过了两年。两年后 ，他们再次相遇，当初那段感情中...,7820,https://book.douban.com/subject/26279019/
596,人性的枷锁,68,"[英] 威廉·萨默塞特·毛姆 , 张乐 ", 2016-5 , 江西人民出版社 ,9.2,【内容简介】《人性的枷锁》是毛姆具有自传性质的经典作品，也被认为是首屈一指、流传甚广的重要代表作。和《月亮和六便士》《面纱》《刀锋》一道，奠定毛姆“故事...,4419,https://book.douban.com/subject/26803714/
597,罪与罚,58,"陀思妥耶夫斯基 , 岳麟 ", 2015-1-1 , 上海译文出版社 ,9.3,小说描写穷大学生拉斯柯尔尼科夫为生计所迫，受无政府主义思想毒害，精神失常，杀死放高利贷的房东老太婆和她的无辜的妹妹，制造了一起震惊全俄的凶杀案，最终在基督徒...,1234,https://book.douban.com/subject/25887912/
598,海子诗全集,88,海子 著、西川 编 , 2009-3 , 作家出版社 ,9.2,《海子诗全集》收录迄今为止所有发现的海子文学作品。全书以上海三联书店1997年出版的《海子诗全编》为底本，依照时间与类别结合的方式，收入海子的抒情短诗、长诗...,7690,https://book.douban.com/subject/3610681/
599,九三年,13,"[法]雨果 , 叶尊 ", 2007-3 , 上海译文出版社 ,8.8,雨果（1802-1885），法国著名小说家、诗人。《九三年》是他的最后一部长篇小说。雨果在小说中塑造了旺代叛军首领朗德纳克侯爵及其侄孙、镇压叛乱的共和军司...,3542,https://book.douban.com/subject/2042629/
600,不过神仙和没事妖怪,38,静岛 , 2019-5 , 广西师范大学出版社 ,,本书讲述了在平凡都市生活中，因被赋予了超能力而悄 然发生变化的20段爱情故事。 单纯善良的“不过神仙”会给她遇到的好人提供一项超能力，但附带着“不过”的条件...,118,https://book.douban.com/subject/30486259/
601,人鼠之间,29,"[美] 约翰·斯坦贝克（John Steinbeck） , 李天奇 ", 2016-1-1 , 上海文艺出版社 ,9.0,英国BBC读者票选“英国人最喜爱的100部小说”之一诺贝尔文学奖得主斯坦贝克关于承诺、孤独、希望和失去之书——————莱尼身高两米，力气大得吓人，但心...,3095,https://book.douban.com/subject/26598807/
602,骆驼祥子,25,老舍 , 2010-3-1 , 南海出版公司 ,9.0,《骆驼祥子》讲述：老舍是我国现代著名作家，京派文学的代表人物，其作品具有独特的幽默风格和浓郁的生活气息，深受广大读者喜爱。本书收录《骆驼祥子》和《离婚》两部...,4408,https://book.douban.com/subject/4275017/
603,倚天屠龙记,76,金庸 , 1994年5月 , 生活·读书·新知三联书店 ,8.7,《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无忌的江湖生涯，表现众武林豪...,15009,https://book.douban.com/subject/1789841/
604,口才三绝,26,曹希波 , 2007-2 , 江西人民出版社 ,,练口才是每个人的必修课。不少人早已经意识到了这一点，也一直在试图努力提高自己的口才，但只是苦于没有一种立竿见影的好方法。其实，要想提升口才能力并不难，只要你...,27,https://book.douban.com/subject/2055499/
605,被拯救的威尼斯,39,"[法]西蒙娜·薇依 , 吴雅凌 ", 2019-3-1 , 华夏出版社 ,9.1,"西蒙娜•薇依(Simone Weil,1909-1943)，20世纪法国哲学家、社会活动家、神秘主义思想大师。《被拯救的威尼斯》是西蒙娜•薇依生平写过的唯一...",55,https://book.douban.com/subject/30367976/
606,伪装成独白的爱情,48,"[匈] 马洛伊·山多尔 , 郭晓晶 ", 2015-10 , 译林出版社 ,8.6,* 爱情不堪直视，孤独才是唯一真相* 关于爱的危险、狡黠、颓丧和悲凉，写给真正的精神贵族* 马洛伊•山多尔用一生写就的挚爱之作前妻坐在街角的甜品店，悄...,2005,https://book.douban.com/subject/26577690/
607,爱情和其他魔鬼,35,"[哥伦比亚] 加西亚·马尔克斯 , 陶玉平 ", 2016-1 , 南海出版公司 ,8.7,德劳拉神父做了一个奇怪的梦：一个长发委地的少女，坐在一扇无始无终的窗户前吃葡萄，窗外是大雪覆盖的原野，女孩每吃掉一颗，葡萄串上就又长出一颗新的来。他被派往...,5516,https://book.douban.com/subject/26451351/
608,沙之书,26,"(阿根廷)博尔赫斯 , 王永年 ", 2015-7 , 上海译文出版社 ,9.0,小说集，一九七五年出版，收短篇小说十三篇，博尔赫斯写作后期的顶尖之作。面对一本页码无穷尽的“沙之书”，先开始是据为己有的幸福感，最终领悟是可怕的怪物，是一切...,3227,https://book.douban.com/subject/25796049/
609,苏东坡传,28,林语堂 , 2016-6 , 湖南文艺出版社 ,8.2,本书讲述的苏东坡是一个秉性难改的乐天派，是悲天悯人的道德家，是散文作家，是新派的画家，是伟大的书法家，是酿酒的实验者，是工程师，是假道学的反对派，是瑜伽术的...,2460,https://book.douban.com/subject/26847644/
610,欧也妮·葛朗台,8,"巴尔扎克(法) , 张冠尧 ", 2000-5-1 , 人民文学出版社 ,7.8,《欧叶妮·葛朗台》的故事情节简单：天真美丽的葛朗台是悭吝精明的百万富翁的独生女儿，她爱上了破产的表哥，为了他不惜激怒爱财如命的父亲，倾尽全部私蓄资助他闯天下...,28040,https://book.douban.com/subject/1031741/
611,2666,98,"[智利] 罗贝托·波拉尼奥 , 赵德明 ", 2012-1-1 , 上海人民出版社 ,8.7,美国全国书评人协会最佳小说奖《纽约时报》年度十佳图书之首《时代》周刊年度最佳小说《洛杉矶时报》年度最佳小说《旧金山纪事报》年度50部最佳小说《西雅...,3034,https://book.douban.com/subject/6800379/
612,流动的盛宴,28,"[美] 海明威 , 汤永宽 ", 2009-1 , 上海译文出版社 ,8.2,1920年代上半叶，海明威以驻欧记者身份旅居巴黎，《流动的盛宴》这本书，记录的正是作者当日的这段生活。不过这本书的写作却是在将近四十年以后，换句话说，盛宴的...,5365,https://book.douban.com/subject/3393056/
613,海风中失落的血色馈赠,49,"[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 ", 2019-1 , 人民文学出版社 ,9.3,《海风中失落的血色馈赠》所收入的七个故事，都发生在新斯科舍省布雷顿角那些严酷的风景中，有少年渴望摆脱家族在海岛世代挖煤的命运而在成年之际离家远行，有人到中年...,179,https://book.douban.com/subject/30401373/
614,应物兄,79,李洱 , 2018-12 , 人民文学出版社 ,7.0,一部《应物兄》，李洱整整写了十三年。李洱借鉴经史子集的叙述方式，记叙了形形色色的当代人，尤其是知识者的言谈和举止。所有人，我们的父兄和姐妹，他们的命运都围...,315,https://book.douban.com/subject/30409058/
615,博尔赫斯谈话录,49,"[阿] 豪尔赫·路易斯·博尔赫斯 著、[美] 威利斯·巴恩斯通 编 , 西川 ", 2014-11 , 广西师范大学出版社 ,8.8,"豪尔赫•路易斯•博尔赫斯（Jorge Luis Borges, 1899—1986），享誉世界的阿根廷诗人、作家、翻译家。西语美洲文学之父，创作风格深邃、博...",2759,https://book.douban.com/subject/25952961/
616,乡关何处,36,土家野夫 , 2016-3 , 北京十月文艺出版社 ,8.4,《乡关何处》是野夫作品，以外婆、大伯、瞎子哥等亲朋好友为对象，将他们微小而传奇的人生，以一种质朴的深情娓娓道来。外婆出身高贵，慈悲温暖，却一生遭遇悲惨（坟...,3405,https://book.douban.com/subject/26742663/
617,盗墓笔记,295,南派三叔 , 2011-9 , 上海文化出版社 ,8.5,NULL,17129,https://book.douban.com/subject/6953273/
618,写在人生边上,6,"钱钟书 , 辽宁人民出版社", 2000-5-1 ,辽海出版社 ,8.8,人生据说是一部大书。 假使人生真是这样，那么，我们一大半作者只能算是书评家，具有书评家的本领，无须看得几页书，议论早已发了一大堆，书评一篇写完交卷。 但...,6078,https://book.douban.com/subject/1061242/
619,东京奇谭集,13,"[日] 村上春树 , 林少华 ", 2006-7 , 上海译文出版社 ,8.0,《东京奇谭集》收有五部短篇小说，分别为《偶然的旅人》、《哈纳莱伊湾》、《在可能找见的地方，无论哪里》、《天天移动的肾脏石块》和《品川猴》。五篇奇谭中最奇的是...,17919,https://book.douban.com/subject/1848256/
620,NULL,23,安意如 , 2006-8 , 天津教育出版社 ,7.2,这是一部不甘于淹没在浩瀚书海中的作品。她似在谈诗词，又似在谈风月。她不拘泥于对古典诗词字面的理解，也非传统意义上的简单赏析，而是一种风格独特、感情丰富的散文...,45737,https://book.douban.com/subject/1856285/
621,阿勒泰的角落,25,李娟 , 2010-6 , 万卷出版公司 ,9.1,《阿勒泰的角落》是关于新疆的最美丽文字，这是现代版《呼兰河传》。由作者1998-2003年之间陆续完成并在《文汇报》、《南方周末》等发表的短篇散文集结成册。...,8518,https://book.douban.com/subject/4881850/
622,罗生门,31,"芥川龙之介 , 高慧勤 ", 2017-12 , 时代文艺出版社 ,8.6,“我有时会想，二十年后，五十年后，甚或一百年后的事。那时节，已不会知道曾经有过我这样一个人。我的作品集，想必积满灰尘，摆在神田一带的旧书店的角落里，徒然等着...,414,https://book.douban.com/subject/30184596/
623,妻妾成群,48,苏童 , 2019-2-1 , 浙江人民出版社 ,9.1,《妻妾成群》是当代文学大家苏童的成名代表作，小说讲述了富商陈老爷娶了四个女人作太太，在阴森诡秘的陈府里，几个女人明争暗斗，都只为了争夺这个男人的一丝宠爱。十...,151,https://book.douban.com/subject/30459512/
